year,quarter,total_laid_off
2020,2020Q1,9628.0
2020,2020Q2,60141.0
2020,2020Q3,9690.0
2020,2020Q4,1539.0
2021,2021Q1,7728.0
2021,2021Q2,2695.0
2021,2021Q3,2108.0
2021,2021Q4,3292.0
2022,2022Q1,9909.0
2022,2022Q2,35257.0
2022,2022Q3,35174.0
2022,2022Q4,84929.0
2023,2023Q1,167574.0
2023,2023Q2,46433.0
2023,2023Q3,25575.0
2023,2023Q4,24638.0
2024,2024Q1,57149.0
2024,2024Q2,43517.0
2024,2024Q3,38716.0
2024,2024Q4,994.0
